descriptor,category,samples
Anode additive 1,MoS2,14
Anode additive 1,Sulfide,14
Anode additive 1,VS2,11
Anode additive 1,Nitrogen-doped carbon nanofiber,10
Anode additive 1,Alloy,10
Anode additive 1,Ti3C2|Ti2C|MXene,9
Anode additive 1,Co,8
Anode additive 1,Co3Se4,7
Anode additive 1,Modified,5
Anode additive 1,Nitrogen-doped graphene,4
Anode additive 1,VO2,4
Anode additive 1,Oxide,4
Anode additive 1,CNT|Carbon nanotube,1
Anode additive 1,Phosphide,1
Anode additive 1,TiO2,1
Anode additive 1,ZnS,1
Anode additive 2,Co,15
Anode additive 2,CNT|Carbon nanotube,4
Anode additive 2,Nitride,4
Anode additive 2,Nitrogen-doped graphene,1
Anode additive 2,Ag,1
Anode areal capacity,mAh*cm^(-2),2118
Anode binder 1,PVDF|Polyvinylidene difluoride,697
Anode binder 1,CMC|Carboxyl methyl cellulose,536
Anode binder 1,SA|Sodium alginate,71
Anode binder 1,PTFE|Polytetrafluoroethylene,34
Anode binder 1,PAA|Polyacrylic acid,15
Anode binder 2,SBR|Styrene butadien rubber,21
Anode conductive agent,Super P,647
Anode conductive agent,CB|Carbon black,372
Anode conductive agent,AB|Acetylene black,269
Anode conductive agent,KB|Ketjen black,17
Anode conductive agent,MWCNT|MWNT|Multi wall carbon nanotube,14
Anode conductive agent,CNT|Carbon nanotube,2
Anode current collector,Cu|Copper,1871
Anode current collector,SUS|SS|Stainless Steel,103
Anode current collector,Al|Aluminum,62
Anode current collector,Ni|Nickel,7
Anode current collector,Na|Sodium,1
Applied field,-,9
Cathode active material,S|S8|Sulfur|Sublimated sulfur,4481
Cathode active material,PANS|SPAN|Polyacrylonitrile sulfur,800
Cathode active material,LFP|Lithium iron phosphate,769
Cathode active material,O2,508
Cathode active material,NMC811,292
Cathode active material,Organic compounds,287
Cathode active material,Mo6S8|Molybdenum sulfide,174
Cathode active material,CuS|Copper sulfide,165
Cathode active material,V2O5|Vanadium oxide,149
Cathode active material,MoS2|Molybdenum sulfide,136
Cathode active material,VS4|Vanadium sulfide,119
Cathode active material,LCO|Lithium cobalt oxide,114
Cathode active material,NMC622,93
Cathode active material,CuSe|Copper selenide,91
Cathode active material,MnO2|Manganese oxide,89
Cathode active material,VOx|Vanadium oxide,87
Cathode active material,Gr|Graphite,67
Cathode active material,Mexene,65
Cathode active material,Mn2O4|Manganese oxide,57
Cathode active material,NMC532,56
Cathode active material,Other NMC,48
Cathode active material,MPO4|Phosphate,48
Cathode active material,LTO|Lithium titanate,47
Cathode active material,Cu2Se|Copper selenide,42
Cathode active material,Na compounds,37
Cathode active material,CoS|Cobalt sulfide,35
Cathode active material,TiO2|Titanium oxide,32
Cathode active material,NCA,29
Cathode active material,FeS2|Iron sulfide,23
Cathode active material,Se|selenium,20
Cathode active material,CO2,20
Cathode active material,O2|Oxygen,18
Cathode active material,NVPF|Na3V2(PO4)2F3,18
Cathode active material,CoSe2|Cobalt selenide,13
Cathode active material,LMO|Lithium manganese oxide (LiMn2O4),11
Cathode active material,MSiO4|Silicate,11
Cathode active material,Cu3Se2|Copper selenide,10
Cathode active material,WSe2|Tungsten selenide,10
Cathode active material,MoO3|Molybdenum oxide,9
Cathode active material,NMC333,8
Cathode active material,LNO|Lithium nickel oxide,8
Cathode active material,BaTiO3|Barium titanate,8
Cathode active material,MVO4|Vanadate,7
Cathode active material,PB|Prussian blue,7
Cathode active material,Organosulfur|Organic sulfur compounds,6
Cathode active material,NMC87,6
Cathode active material,MNO|LMNO|Lithium manganase nickel oxide,5
Cathode active material,TiSe2|Titanium selenide,4
Cathode active material,MNO|LMNO|Lithium manganese nickel oxide,4
Cathode active material,TiS2|Titanium sulfide,4
Cathode active material,MoS3|Molybdenum sulfide,4
Cathode active material,Ar,1
Cathode additive 1,Carbon material,1335
Cathode additive 1,CNT|Carbon nanotube,401
Cathode additive 1,rGO|Reduced graphene oxide,242
Cathode additive 1,N-doped carbon|Nitrogen-doped carbon,215
Cathode additive 1,Graphene,181
Cathode additive 1,Oxide,173
Cathode additive 1,CF|CNF|Carbon fiber|Carbon nanofiber,134
Cathode additive 1,TiO2,117
Cathode additive 1,Sulfide,109
Cathode additive 1,Co,93
Cathode additive 1,MWCNT|MWNT|Multi wall carbon nanotube,72
Cathode additive 1,Metal,72
Cathode additive 1,Nitrogen-doped graphene,65
Cathode additive 1,MnO2,61
Cathode additive 1,GO|Graphene oxide,58
Cathode additive 1,Ti3C2|Ti2C|MXene,56
Cathode additive 1,Graphite,55
Cathode additive 1,Modified,45
Cathode additive 1,Selenide,43
Cathode additive 1,Ni,33
Cathode additive 1,Nitrogen-doped carbon nanotube,31
Cathode additive 1,Organic,31
Cathode additive 1,NiO,28
Cathode additive 1,Carbide,28
Cathode additive 1,Ti4O7,27
Cathode additive 1,MoS2,20
Cathode additive 1,Fe,20
Cathode additive 1,ZnS,20
Cathode additive 1,Mn3O4,19
Cathode additive 1,Alloy,19
Cathode additive 1,TiN,17
Cathode additive 1,Mo2C,16
Cathode additive 1,Nitrogen-doped carbon nanofiber,14
Cathode additive 1,Co3O4,13
Cathode additive 1,VN,11
Cathode additive 1,Boride,11
Cathode additive 1,ZnO,11
Cathode additive 1,Zn,10
Cathode additive 1,Mo,10
Cathode additive 1,CeO2,9
Cathode additive 1,V,9
Cathode additive 1,Phosphide,8
Cathode additive 1,WO3,7
Cathode additive 1,SWCNT|SWNT|Single wall carbon nanotube,6
Cathode additive 1,Co9S8,6
Cathode additive 1,WS2,6
Cathode additive 1,Nitride,5
Cathode additive 1,La,5
Cathode additive 1,Mg,5
Cathode additive 1,VS2,4
Cathode additive 1,TiO,4
Cathode additive 1,B-doped carbon|Boron-doped carbon,4
Cathode additive 1,VO2,3
Cathode additive 1,Ti,3
Cathode additive 1,TiB2,2
Cathode additive 1,Boron-doped carbon nanotube,2
Cathode additive 1,CoP,2
Cathode additive 1,Co4N,2
Cathode additive 1,P-doped carbon|Phosphorus-doped carbon,2
Cathode additive 1,La2O3,2
Cathode additive 1,Mn,1
Cathode additive 1,Fe2O3,1
Cathode additive 2,CNT|Carbon nanotube,33
Cathode additive 2,Carbon material,24
Cathode additive 2,CF|CNF|Carbon fiber|Carbon nanofiber,20
Cathode additive 2,Graphene,19
Cathode additive 2,Co,18
Cathode additive 2,N-doped carbon|Nitrogen-doped carbon,16
Cathode additive 2,Sulfide,15
Cathode additive 2,Oxide,12
Cathode additive 2,Graphite,10
Cathode additive 2,rGO|Reduced graphene oxide,10
Cathode additive 2,Nitrogen-doped graphene,8
Cathode additive 2,Carbide,7
Cathode additive 2,Modified,7
Cathode additive 2,Co3O4,5
Cathode additive 2,Metal,4
Cathode additive 2,TiN,3
Cathode additive 2,Nitride,3
Cathode additive 2,MoS2,2
Cathode additive 2,TiO2,1
Cathode areal density (cathode loading),mg*cm^(-2),7195
Cathode binder 1,PVDF|Polyvinylidene difluoride,6305
Cathode binder 1,PTFE|Polytetrafluoroethylene,747
Cathode binder 1,CMC|Carboxyl methyl cellulose,607
Cathode binder 1,LA 133,210
Cathode binder 1,PAA|Polyacrylic acid,109
Cathode binder 1,LA-132,61
Cathode binder 1,SA|Sodium alginate,36
Cathode binder 1,guar binder,30
Cathode binder 1,SBR|Styrene butadien rubber,28
Cathode binder 1,PVP|Polyvinyl pyrrolidone,12
Cathode binder 1,PANI|Polyaniline,5
Cathode binder 1,PBI|Stacked perylene bisimide,4
Cathode binder 1,PEDOT|Polyethylene dioxy thiophene,4
Cathode binder 1,PEI|Polyethylenimin,3
Cathode binder 1,PEO|Polyethylene oxide,1
Cathode binder 2,SBR|Styrene butadien rubber,291
Cathode binder 2,CMC|Carboxyl methyl cellulose,30
Cathode binder 2,guar binder,27
Cathode binder 2,PAA|Polyacrylic acid,10
Cathode binder 2,SBR|Styrene butadiene rubber,6
Cathode binder 2,PSS|Polystyrenesulfonate,4
Cathode binder 2,PVDF|Polyvinylidene difluoride,1
Cathode conductive agent,Super P,3316
Cathode conductive agent,CB|Carbon black,2293
Cathode conductive agent,AB|Acetylene black,1192
Cathode conductive agent,KB|Ketjen black,820
Cathode conductive agent,CNT|Carbon nanotube,270
Cathode conductive agent,MWCNT|MWNT|Multi wall carbon nanotube,178
Cathode conductive agent,Ketjen EC-600 JD,28
Cathode conductive agent,Vulcan XC-72,19
Cathode conductive agent,CF|CNF|Carbon fiber/Carbon nanofiber,14
Cathode conductive agent,CNovel,11
Cathode conductive agent,MPC|Mesoporous carbon,10
Cathode conductive agent,AC|Activated carbon,9
Cathode conductive agent,Black Pearl 2000,8
Cathode conductive agent,Porous carbon,5
Cathode conductive agent,Ketjen EC-300 J,5
Cathode conductive agent,Shawinigan Black,4
Cathode conductive agent,SWCNT|SWNT|Single wall carbon nanotube,4
Cathode conductive agent,CMK-3,2
Cathode conductive agent,graphene,1
Cathode current collector,Al,1422
Cell type,Mg|other full cell,1711
Cell type,Li|Cu half cell,1078
Cell type,Li|Li symmetric cell,992
Cell type,Li|LFP full cell,587
Cell type,Li|NMC full cell,329
Cell type,Mg|other half cell,252
Cell type,CV,234
Cell type,LSV,134
Cell type,Li|Other half cell,105
Cell type,Mg|Mg symmetric cell,88
Cell type,Mg|Cu half cell,67
Cell type,Li|LCO full cell,52
Cell type,Li|NCA full cell,16
Cell type,Mg|SS half cell,6
Cell type,Li|LMO full cell,5
Cell type,Li|Ni half cell,4
Cell type,Li|SS half cell,2
Composition conversion,formula unit,2
Coulombic efficiency,%,355
Counter electrode,Na|Sodium,1114
Counter electrode,Mg|Magnesium,657
Counter electrode,Li|Lithium,64
Counter electrode,Cu|Copper,24
Current density,mA*cm^(-2),2344
DataType,Experiment,47185
DataType,Reference,648
DataType,Unknown,170
DataType,NeedCheck,13
DataType,Other,11
Differential thermal analyzer,Specific heat capacity,3
DifferentialThermalAnalyzer,Specific heat capacity,21
ElectricalMeasurement,SteadyState+4P,10866
ElectricalMeasurement,Other,1008
ElectricalMeasurement,PPMS-TTO,860
ElectricalMeasurement,SteadyState+vdP,440
ElectricalMeasurement,SteadyState+2P,272
ElectricalMeasurement,MicroProbe,186
ElectricalMeasurement,PPMS,149
ElectricalMeasurement,Harman,35
Electrolyte additive 1,LiNO3|Lithium nitrate,1624
Electrolyte additive 1,FEC|Fluoro ethylene carbonate,880
Electrolyte additive 1,VC|Vinylene carbonate,93
Electrolyte additive 1,FEC|Fuluoro ethylene carbonate,91
Electrolyte additive 1,Li2S8|Lithium octasulfide,14
Electrolyte additive 1,MgCl2|Magnesium chloride,14
Electrolyte additive 1,LiTfO|Lithium triflate|Lithium Trifluoromethanesulfonate,10
Electrolyte additive 1,MgHMDS2|Magnesium bis(hexamethyldisilazido),10
Electrolyte additive 1,"1,2-dfBen | 1,2-Difluorobenzene",8
Electrolyte additive 1,GA | glutaric anhydride,6
Electrolyte additive 1,"PS|1,3-propane sultone",6
Electrolyte additive 1,LiPS|Lithium polysulfide,5
Electrolyte additive 1,Mg(TFSI)2|Magnesium(II) Bis(trifluoromethanesulfonyl)imide,5
Electrolyte additive 1,APFA|ammonium perfluoro(2-methyl-3-oxahexanoate),4
Electrolyte additive 1,LiBOB|Lithium bis(oxalato)borate,3
Electrolyte additive 1,LiTFSI|LiTFSA|Lithium Bis(trifluoromethanesulfonyl)imide,2
Electrolyte additive 2,LiNO3|Lithium nitrate,14
Electrolyte additive 2,Li2S8|Lithium octasulfide,10
Electrolyte additive 2,LiBOB|Lithium bis(oxalato)borate,3
Electrolyte additive 2,VC|Vinylene carbonate,2
Electrolyte additive 2,FEC|Fluoro ethylene carbonate,1
FabricationProcess,PressureSintering,5317
FabricationProcess,Melting,5199
FabricationProcess,Sintering,3578
FabricationProcess,Other,3347
FabricationProcess,MechanicalAlloying,3073
FabricationProcess,FilmGrowth,2677
FabricationProcess,Sol-gel,2064
FabricationProcess,MeltGrowth,1108
FabricationProcess,HighPressureSynthesis,967
FabricationProcess,SoftChemical,803
FabricationProcess,MeltQuench,537
FabricationProcess,Hydrothermal,533
FabricationProcess,co-precipitation,406
FabricationProcess,FluxGrowth,350
FabricationProcess,VaporGrowth,331
FabricationProcess,Organic,311
FabricationProcess,Unknown,232
FabricationProcess,Calcination,109
FabricationProcess,Drop casting,104
FabricationProcess,HotDeformed,62
FabricationProcess,Pressing,39
FabricationProcess,solution combustion,26
FabricationProcess,Cold pressing,16
FabricationProcess,StripCast,15
FabricationProcess,Solvothermal,14
FabricationProcess,Thermal decomposition,10
FabricationProcess,microemulsion,9
FabricationProcess,solvothermal,8
FabricationProcess,flux,8
FabricationProcess,HDDR,6
FabricationProcess,Electrolysis,6
FabricationProcess,pyrolysis,4
FabricationProcess,SolutionGrowth,2
FabricationProcess 2,Sintering,1307
FabricationProcess 2,Organic,90
FabricationProcess 2,PressureSintering,71
FabricationProcess 2,MechanicalAlloying,44
FabricationProcess 2,Pressing,28
FabricationProcess 2,Drop casting,24
FabricationProcess 2,Calcination,21
FabricationProcess 2,FilmGrowth,16
FabricationProcess 2,HotDeformed,11
FabricationProcess 2,Melting,11
FabricationProcess 2,FluxGrowth,7
FabricationProcess 2,VaporGrowth,6
FabricationProcess 2,Other,5
FabricationProcess 2,MeltQuench,5
FabricationProcess 2,MeltGrowth,4
FabricationProcess 2,Cold pressing,2
FabricationProcess 3,Melting,29
FabricationProcess 3,Sintering,10
FabricationProcess 3,PressureSintering,8
FabricationProcess 3,Other,4
FabricationProcess 3,Pressing,4
Form,Bulk,18151
Form,Powder,6345
Form,Film,3681
Form,pellets,2692
Form,SingleCrystal,1935
Form,Ribbon,1500
Form,Unknown,1333
Form,Polycrystal,886
Form,rod-shaped,723
Form,Plate,425
Form,Other,407
Form,EpitaxialFilm,244
Form,disk,218
Form,Wire,190
Form,Rod,106
Form,Bonded,101
Form,cylinder,79
Form,OrientedBulk,78
Form,Device,69
Form,disc,61
Form,Composite,51
Form,toroid,49
Form,compact,45
Form,Coating,43
Form,fibers,41
Form,Module,38
Form,tablet,35
Form,button,31
Form,multilayer film,27
Form,Aerogel,17
Form,block,13
Form,Sheet,12
Form,thin slices,10
Form,small pieces,10
Form,FoamedBulk,6
Form,Nanotubes,5
Form,ring,4
Grain size,few millimters,1
Grain size,Few micrometers,1
GrainSize,um,353
GrainSize,nm,347
GrainSize,10nm,211
GrainSize,100nm,152
GrainSize,1um,131
GrainSize,mm,105
GrainSize,Unknown,91
GrainSize,10um,55
GrainSize,100um,30
GrainSize,1mm,11
LaserFlash,thermal diffusivity,16
Lower voltage limit,V,3012
MagneticMeasurement,VSM,8995
MagneticMeasurement,SQUID,3480
MagneticMeasurement,PPMS,1855
MagneticMeasurement,Unknown,774
MagneticMeasurement,MPMS,597
MagneticMeasurement,Other,272
MagneticMeasurement,BH-tracer,44
MagneticMeasurement,PulseBH-tracer,29
MagneticMeasurement,PFM,16
MagneticMeasurement,AGM,13
MagneticMeasurement,AGFM,4
Material Family,Oxide,24
Material Family,Sulfide,3
Material Family,Layered Bi2Se3 Nanoplate/Polyvinylidene Fluoride,1
Material Family,Cu2Se,1
Material Family,Pyrite,1
Material Family,Aluminide,1
Material family,InGaZnO,3
Material family,SiGe,1
Material family,Oxides,1
MaterialFamily,Perovskite,2419
MaterialFamily,Bi2Te3,1890
MaterialFamily,Oxide,1805
MaterialFamily,Skutterudite,1738
MaterialFamily,Half-Heusler,1283
MaterialFamily,PbTe,1059
MaterialFamily,Cobaltite,1047
MaterialFamily,Polymer,967
MaterialFamily,Telluride,930
MaterialFamily,Heavy-Fermion,886
MaterialFamily,Alloy,885
MaterialFamily,Antimonide,872
MaterialFamily,Selenide,851
MaterialFamily,Sulfide,703
MaterialFamily,Mg2Si,689
MaterialFamily,Silicide,599
MaterialFamily,Chalcogenide,581
MaterialFamily,Clathrate,515
MaterialFamily,ZnO,339
MaterialFamily,Zintl,306
MaterialFamily,Heusler,266
MaterialFamily,Si/Ge,174
MaterialFamily,Metal,172
MaterialFamily,Organic,168
MaterialFamily,Si,137
MaterialFamily,SnSe,127
MaterialFamily,Boron,51
MaterialFamily,Carbide,47
MaterialFamily,Chalcopyrite,46
MaterialFamily,Germinide,46
MaterialFamily,Graphene,33
MaterialFamily,Silicon carbide,33
MaterialFamily,SiGe,27
MaterialFamily,Phosphide,24
MaterialFamily,Nitride,22
MaterialFamily,d-silicide,9
MaterialFamily,Aluminide,9
MaterialFamily,Stannite,7
MaterialFamily,Chevrel phase,7
MaterialFamily,Argyrodite,7
MaterialFamily,Germanide,5
MaterialFamily,Ceramics,4
MaterialFamily,tetrahedrites,4
MaterialFamily,Ruthenates,4
MaterialFamily,Iron pnictides,3
MaterialFamily,diamondlike structure,3
MaterialFamily,Borom,3
MaterialFamily,Borocarbonitride,2
MaterialFamily,Tetrahedrite,2
MaterialFamily,Graphite Intercalation Compounds,2
MaterialFamily,Half-metals,1
MaterialFamily,Tl4TiS4,1
MaterialFamily,Sb2Te3(GeTe)17,1
MaterialFarmily,Zintl,1
MaterialFarmily,Selenide,1
Materials family,SiGe,1
MaterialsFamily,Zintl,1
MaterialsFamily,Ceramics,1
Maximum power,0.14 watt,1
Maximum power,0.14 Watt,1
Measurement axis,c,2
Measurement temperature,room,4387
Measurement temperature,300,1386
Measurement temperature,5,520
Measurement temperature,10,435
Measurement temperature,100,264
Measurement temperature,200,217
Measurement temperature,2,145
Measurement temperature,50,103
Measurement temperature,20,101
Measurement temperature,150,95
Measurement temperature,250,93
Measurement temperature,290,67
Measurement temperature,220,64
Measurement temperature,4,62
Measurement temperature,210,61
Measurement temperature,270,56
Measurement temperature,280,56
Measurement temperature,295,54
Measurement temperature,240,54
Measurement temperature,180,51
Measurement temperature,260,51
Measurement temperature,60,50
Measurement temperature,400,49
Measurement temperature,3,47
Measurement temperature,320,47
Measurement temperature,30,45
Measurement temperature,230,45
Measurement temperature,80,44
Measurement temperature,350,44
Measurement temperature,40,43
Measurement temperature,8,43
Measurement temperature,15,42
Measurement temperature,330,42
Measurement temperature,310,42
Measurement temperature,4.2,41
Measurement temperature,160,39
Measurement temperature,190,33
Measurement temperature,25,32
Measurement temperature,16,32
Measurement temperature,6,31
Measurement temperature,170,30
Measurement temperature,12,29
Measurement temperature,7,29
Measurement temperature,305,28
Measurement temperature,120,28
Measurement temperature,275,28
Measurement temperature,293,26
Measurement temperature,70,26
Measurement temperature,340,26
Measurement temperature,14,26
Measurement temperature,18,26
Measurement temperature,215,26
Measurement temperature,140,25
Measurement temperature,265,25
Measurement temperature,255,24
Measurement temperature,245,24
Measurement temperature,225,24
Measurement temperature,205,24
Measurement temperature,285,24
Measurement temperature,360,24
Measurement temperature,85,21
Measurement temperature,110,21
Measurement temperature,315,21
Measurement temperature,195,20
Measurement temperature,291,20
Measurement temperature,24,20
Measurement temperature,325,19
Measurement temperature,298,19
Measurement temperature,45,19
Measurement temperature,125,18
Measurement temperature,292,18
Measurement temperature,90,18
Measurement temperature,130,18
Measurement temperature,235,18
Measurement temperature,370,17
Measurement temperature,75,17
Measurement temperature,35,17
Measurement temperature,500,16
Measurement temperature,95,16
Measurement temperature,115,16
Measurement temperature,204,16
Measurement temperature,208,16
Measurement temperature,390,16
Measurement temperature,unknown,16
Measurement temperature,345,16
Measurement temperature,175,15
Measurement temperature,55,15
Measurement temperature,38,15
Measurement temperature,65,15
Measurement temperature,105,15
Measurement temperature,318,15
Measurement temperature,272,15
Measurement temperature,77,14
Measurement temperature,4.5,14
Measurement temperature,246,14
Measurement temperature,216,14
Measurement temperature,165,14
Measurement temperature,198,14
Measurement temperature,236,14
Measurement temperature,36,14
Measurement temperature,145,13
Measurement temperature,218,13
Measurement temperature,185,13
Measurement temperature,335,13
Measurement temperature,214,13
Measurement temperature,348,13
Measurement temperature,28,13
Measurement temperature,336,13
Measurement temperature,278,13
Measurement temperature,600,12
Measurement temperature,288,12
Measurement temperature,135,12
Measurement temperature,206,12
Measurement temperature,266,12
Measurement temperature,294,12
Measurement temperature,192,12
Measurement temperature,196,12
Measurement temperature,302,12
Measurement temperature,342,12
Measurement temperature,324,12
Measurement temperature,473,11
Measurement temperature,380,11
Measurement temperature,312,11
Measurement temperature,155,11
Measurement temperature,323,11
Measurement temperature,333,11
Measurement temperature,234,11
Measurement temperature,212,11
Measurement temperature,258,11
Measurement temperature,262,11
Measurement temperature,202,11
Measurement temperature,273,11
Measurement temperature,339,11
Measurement temperature,22,11
Measurement temperature,26,11
Measurement temperature,573.15,10
Measurement temperature,773,10
Measurement temperature,308,10
Measurement temperature,284,10
Measurement temperature,296,10
Measurement temperature,276,10
Measurement temperature,286,10
Measurement temperature,213,10
Measurement temperature,252,10
Measurement temperature,268,10
Measurement temperature,254,10
Measurement temperature,306,10
Measurement temperature,314,10
Measurement temperature,232,10
Measurement temperature,32,10
Measurement temperature,326,10
Measurement temperature,274,10
Measurement temperature,34,10
Measurement temperature,297,9
Measurement temperature,375,9
Measurement temperature,226,9
Measurement temperature,174,9
Measurement temperature,299,9
Measurement temperature,194,9
Measurement temperature,303,9
Measurement temperature,282,9
Measurement temperature,328,9
Measurement temperature,322,9
Measurement temperature,1.8,9
Measurement temperature,287,8
Measurement temperature,2.1,8
Measurement temperature,222,8
Measurement temperature,423,8
Measurement temperature,228,8
Measurement temperature,224,8
Measurement temperature,256,8
Measurement temperature,369,8
Measurement temperature,321,8
Measurement temperature,264,8
Measurement temperature,248,8
Measurement temperature,242,8
Measurement temperature,973,8
Measurement temperature,188,8
Measurement temperature,366,8
Measurement temperature,351,8
Measurement temperature,332,8
Measurement temperature,221,8
Measurement temperature,673.15,7
Measurement temperature,450,7
Measurement temperature,316,7
Measurement temperature,177,7
Measurement temperature,201,7
Measurement temperature,283,7
Measurement temperature,9,7
Measurement temperature,199,7
Measurement temperature,673,7
Measurement temperature,173,7
Measurement temperature,11,7
Measurement temperature,17,7
Measurement temperature,238,7
Measurement temperature,244,7
Measurement temperature,363,7
Measurement temperature,354,7
Measurement temperature,338,7
Measurement temperature,873.15,6
Measurement temperature,700,6
Measurement temperature,800,6
Measurement temperature,304,6
Measurement temperature,186,6
Measurement temperature,623,6
Measurement temperature,176,6
Measurement temperature,183,6
Measurement temperature,168,6
Measurement temperature,313,6
Measurement temperature,237,6
Measurement temperature,217,6
Measurement temperature,27,6
Measurement temperature,384,6
Measurement temperature,387,6
Measurement temperature,372,6
Measurement temperature,378,6
Measurement temperature,381,6
Measurement temperature,396,6
Measurement temperature,357,6
Measurement temperature,203,6
Measurement temperature,42,6
Measurement temperature,365,6
Measurement temperature,253,6
Measurement temperature,309,6
Measurement temperature,773.15,5
Measurement temperature,2.5,5
Measurement temperature,723.15,5
Measurement temperature,277,5
Measurement temperature,219,5
Measurement temperature,13,5
Measurement temperature,311,5
Measurement temperature,223,5
Measurement temperature,211,5
Measurement temperature,573,5
Measurement temperature,21,5
Measurement temperature,33,5
Measurement temperature,249,5
Measurement temperature,233,5
Measurement temperature,243,5
Measurement temperature,182,5
Measurement temperature,393,5
Measurement temperature,281,5
Measurement temperature,179,5
Measurement temperature,197,5
Measurement temperature,187,5
Measurement temperature,259,5
Measurement temperature,355,5
Measurement temperature,327,5
Measurement temperature,334,5
Measurement temperature,650,4
Measurement temperature,550,4
Measurement temperature,ZFC,4
Measurement temperature,FC,4
Measurement temperature,353,4
Measurement temperature,341,4
Measurement temperature,523,4
Measurement temperature,189,4
Measurement temperature,162,4
Measurement temperature,207,4
Measurement temperature,343,4
Measurement temperature,289,4
Measurement temperature,4.3,4
Measurement temperature,191,4
Measurement temperature,227,4
Measurement temperature,1073,4
Measurement temperature,19,4
Measurement temperature,23,4
Measurement temperature,247,4
Measurement temperature,239,4
Measurement temperature,317,4
Measurement temperature,385,4
Measurement temperature,373,4
Measurement temperature,301,4
Measurement temperature,279,4
Measurement temperature,263,4
Measurement temperature,346,4
Measurement temperature,261,4
Measurement temperature,1173,4
Measurement temperature,750,3
Measurement temperature,166,3
Measurement temperature,3.5,3
Measurement temperature,171,3
Measurement temperature,231,3
Measurement temperature,900,3
Measurement temperature,29,3
Measurement temperature,31,3
Measurement temperature,39,3
Measurement temperature,172,3
Measurement temperature,178,3
Measurement temperature,184,3
Measurement temperature,329,3
Measurement temperature,267,3
Measurement temperature,271,3
Measurement temperature,78,3
Measurement temperature,133,3
Measurement temperature,151,3
Measurement temperature,193,3
Measurement temperature,251,3
Measurement temperature,923,3
Measurement temperature,873,3
Measurement temperature,823,3
Measurement temperature,430,2
Measurement temperature,475,2
Measurement temperature,525,2
Measurement temperature,575,2
Measurement temperature,675,2
Measurement temperature,425,2
Measurement temperature,625,2
Measurement temperature,725,2
Measurement temperature,7.5,2
Measurement temperature,347,2
Measurement temperature,368,2
Measurement temperature,146,2
Measurement temperature,973.15,2
Measurement temperature,138,2
Measurement temperature,141,2
Measurement temperature,144,2
Measurement temperature,159,2
Measurement temperature,147,2
Measurement temperature,153,2
Measurement temperature,61,2
Measurement temperature,98,2
Measurement temperature,104,2
Measurement temperature,331,2
Measurement temperature,356,2
Measurement temperature,364,2
Measurement temperature,41,2
Measurement temperature,164,2
Measurement temperature,209,2
Measurement temperature,390K,2
Measurement temperature,307,2
Measurement temperature,181,2
Measurement temperature,269,2
Measurement temperature,337,2
Measurement temperature,167,2
Measurement temperature,137,2
Measurement temperature,143,2
Measurement temperature,163,2
Measurement temperature,169,2
Measurement temperature,319,2
Measurement temperature,344,2
Measurement temperature,86,2
Measurement temperature,108,2
Measurement temperature,48,2
Measurement temperature,307.5,2
Measurement temperature,44,2
Measurement temperature,818,2
Measurement temperature,903,2
Measurement temperature,933,2
Measurement temperature,1013,2
Measurement temperature,1053,2
Measurement temperature,1213,2
Measurement temperature,1273,2
Measurement temperature,723,2
Measurement temperature,132.82,1
Measurement temperature,77.3,1
Measurement temperature,573.3,1
Measurement temperature,191.74,1
Measurement temperature,4.47,1
Measurement temperature,24.82,1
Measurement temperature,60.45,1
Measurement temperature,229,1
Measurement temperature,156,1
Measurement temperature,134,1
Measurement temperature,69,1
Measurement temperature,81,1
Measurement temperature,101,1
Measurement temperature,29.99,1
Measurement temperature,374,1
Measurement temperature,si unit.,1
Measurement temperature,47,1
Measurement temperature,51,1
Measurement temperature,53,1
Measurement temperature,37,1
Measurement temperature,67,1
Measurement temperature,49,1
Measurement temperature,57,1
Measurement temperature,59,1
Measurement temperature,43,1
Measurement temperature,63,1
Measurement temperature,241,1
Measurement temperature,379,1
Measurement temperature,382,1
Measurement temperature,376,1
Measurement temperature,349,1
Measurement temperature,410,1
Measurement temperature,332.8,1
Measurement temperature,149,1
Measurement temperature,157,1
Measurement temperature,161,1
Measurement temperature,131,1
Measurement temperature,139,1
Measurement temperature,21.5,1
Measurement temperature,11.3,1
Measurement temperature,34.7,1
Measurement temperature,358,1
Measurement temperature,399,1
Measurement temperature,352,1
Measurement temperature,362,1
Measurement temperature,257,1
Measurement temperature,142,1
Measurement temperature,136,1
Measurement temperature,88,1
Measurement temperature,96,1
Measurement temperature,102,1
Measurement temperature,112,1
Measurement temperature,116,1
Measurement temperature,92,1
Measurement temperature,94,1
Measurement temperature,106,1
Measurement temperature,114,1
Measurement temperature,118,1
Measurement temperature,405,1
Measurement temperature,312.5,1
Measurement temperature,302.5,1
Measurement temperature,297.5,1
Measurement temperature,292.5,1
Measurement temperature,158,1
Measurement temperature,46,1
Measurement temperature,107,1
Measurement temperature,109,1
Measurement temperature,117,1
Measurement temperature,121,1
Measurement temperature,129,1
Measurement temperature,64,1
Measurement temperature,68,1
Measurement temperature,72,1
Measurement temperature,76,1
Measurement temperature,82,1
Measurement temperature,111,1
Measurement temperature,113,1
Measurement temperature,74,1
Measurement temperature,52,1
Measurement temperature,943,1
Measurement temperature,62,1
Measurement temperature,272.5,1
Measurement temperature,388,1
Measurement temperature,1193,1
Measurement temperature,1233,1
Measurement temperature,1223,1
