prop_x,prop_y,curves,data_points
Temperature,Calculated Seebeck coefficient,6,36
T,phonon thermal conductance,6,320
Nanowire diameter,Seebeck coefficient,6,30
Magnetic field,Magnetic Moment,6,202
Temperature,Contact resistivity,6,104
Magnetization,magnetization_per_weight,6,257
Inversed Temperature,Hall mobility,6,92
Magnetic field,polarization,6,207
ratio of intensity,ZT,6,1
ratio of intensity,Thermal conductivity,6,1
frequency,Voltage,5,35
Cycle number,Discharge capacity (based on cathode weight),5,204
Temperture Difference,Thermoelectric voltage,5,325
Temperture Difference,Micro Volts,5,49
Applied Field,Saturation Magnetization,5,279
C rate,Discharge capacity (based on cathode weight),5,25
Ca2.7Yb0.3Co4O9,Electrical resistivity,5,40
Annealing Temperature,Power factor,5,23
Magnetic field strength (H),magnetic susceptibility,5,146
PRESSURE,TEP,5,122
Temperature,Lorenz values,5,51
Temperature,Nernst coefficient,5,55
Pressure,Thermal conductivity,5,40
Rate,Discharge capacity (based on sulfur weight),5,24
R of R-DDM-R,Density,5,34
"Sr concentration, x",Seebeck coefficient,5,59
T^2,Specific heat capacity_K^(-2),5,202
Temperature,Density,5,0
stress,Thermal conductivity,5,65
wavelength,luminescence intensity,5,315
1/T,Electrical conductivity,4,52
1/T,Electrical resistivity,4,113
Time,Coulombic efficiency,4,150
Voltage,Seebeck coefficient,4,378
CNT volume fraction (%),Thermal conductivity,4,74
Time (h),yield (%),4,15
Thickness,Electrical resistivity,4,24
Time,Carrier concentration,4,38
concentrations,Seebeck coefficient,4,228
ZT,Figure of merit,4,0
Temperature,T^(-1),4,48
Temperature,TEP,4,144
Temperature,Lorenz number,4,79
"Na concentration, x",hierarchy of energies of cluster models,4,0
Temperature,Figure of merit Zt,4,141
Concentration of Cu,Electrical resistivity,4,20
Days,Seebeck coefficient,4,40
Temperature,ρ,4,28
"Gate voltage, Vg",Seebeck coefficient,4,76
Temperature,majority carrier concentration,4,20
Temperature,σ/τ,4,0
Temperature,minority carrier concentration,4,20
Hall concentration,Lattice thermal conductivity,4,13
N2(Ar+N2),Temperature Coefficient of Resistivity,4,20
N2(Ar+N2),Electrical resistivity,4,18
T^(-1/2),Electrical resistivity,4,99
PEI,Thermopower,4,19
SWCNTs content (wt%),Electrical conductivity,4,21
"Sr concentration, x",Thermal diffusivity,4,48
Temperature,Specific heat capacity_K^(-2),4,128
hall density,ZT,4,17
1000/T,Carrier mobility,4,173
Carrier concentration,Fermi energy,4,73
sample name,Thermal conductivity,4,5
T,Magnetic Susceptibility_metre_weight,4,153
T,K,4,110
Duration,Electrical conductivity,4,52
Filler content,Thermal conductivity,4,24
Doping level,Electrical conductivity,4,16
Doping level,log(Electrical conductivity),4,4
Log(row),Temperature,4,69
Duration,Power factor,4,12
Electric field,Displacement,4,286
Temperature,Open circuit voltage,4,18
Temperature,Magnetic susceptibility_volume_weight,4,250
Bi2Te3 nanoparticle fraction (vol %),Power factor,3,18
BN content (wt%),Density,3,15
Bi2Te3 nanoparticle fraction (vol %),Electrical conductivity,3,18
Bi2Te3 nanoparticle fraction (vol %),Seebeck coefficient,3,18
Bi2Te3 nanoparticle fraction (vol %),Thermal conductivity,3,19
Carrier concentration,Electrical thermal conductivity,3,80
energy,Electrical conductivity,3,165
